company_number,company_name,company_status,incorporation_date,sic_codes,registered_office_address,active_directors_over_50,company_type,companies_house_turnover,hmrc_turnover,last_accounts_date,category,vat_number
SC311850,BRANDON LANDSCAPING LIMITED,active,2006-11-14,81300,"Dipper Park Moniack Bridge, Kirkhill, I, IV5 7PQ, Scotland","BRANDON, Robert Michael (Age: 61); DOUGLAS, Anthony Alexander (Age: 58)",ltd,Not available,"£27,925,243.51",Not available,Cleaning,GBSC311850
342312,BRETT LANDSCAPING LIMITED,active,1938-07-09,"08120, 23910","Robert Brett House, Ashford Road, Canterbury, Kent, CT4 7PP, England","BALDRY, Richard Hugh (Age: 59); BRETT, William John (Age: 59); GILBERT, John (Age: 78); TARN, Nicholas James (Age: 59); ABRAHAMS, Brian (Age: 78); BRETT, Stephen Robert (Age: 71); DOYLE, Noel James (Age: 79); DROOGAN, Christopher John (Age: 66); JACKSON, Nigel Clifford (Age: 71); JARRETT, John Michael (Age: 63); MARSH, David Jeremy (Age: 63); NICHOLLS, Ian Stuart (Age: 73); O'CARROLL, Brendan Mark (Age: 67); ROWLEY, George Roland (Age: 89); ROWLEY, George Roland (Age: 89); RUSSELL, Simon John (Age: 73); SMITH, Alan Henry (Age: 68); TALLON, Peter William John (Age: 75); WAKERLY, Stephen Ronald (Age: 76); WHITE, David Douglas Percival (Age: 74); WOOLNOUGH, Peter Barry (Age: 78)",ltd,Not available,"£152,040,006.09",Not available,Cleaning,GB00342312
7640248,B R H LANDSCAPING LIMITED,active,2011-05-19,81300,"12 Lydgate Lane, Wolsingham, Bishop Auckland, Durham, DL13 3LF, England","HUTCHINSON, Brian Richard (Age: 65)",ltd,Not available,"£227,641,186.09",Not available,Cleaning,GB07640248
3375974,BRIDGEMAN LANDSCAPING LIMITED,active,1997-05-23,71111,"The Old Dairy, Sacombe House, Ware, Hertfordshire, SG12 0JB","VAUGHAN, Crispin David Philip (Age: 68)",ltd,Not available,"£48,980,710.55",Not available,Cleaning,GB03375974
3641380,BRIGHSTONE LANDSCAPING LIMITED,active,1998-09-30,81300,"Unit 3 Porchfield, Business Park, Newport, Isle Of Wight, PO30 4QB","HOLLIS, Simon (Age: 64); SMITH, Stephen Michael (Age: 65)",ltd,Not available,"£995,816,723.25",Not available,Cleaning,GB03641380
12261957,BROADLEAF TREE SURGERY & LANDSCAPING LTD,active,2019-10-15,81300,"10 Combe Close, Axminster, Devon, EX13 5LN, United Kingdom","DOWN, Alastair (Age: 54)",ltd,Not available,"£8,079,427.74",Not available,Cleaning,GB12261957
15832804,BROADOAK LANDSCAPING LTD,active,2024-07-11,81300,"90 Oxcliffe Road, Heysham, Morecambe, LA3 1LX, England","FEATON, Sean (Age: 57)",ltd,Not available,"£30,194,209.08",Not available,Cleaning,GB15832804
12192829,BROADWOOD LANDSCAPING SERVICES LIMITED,active,2019-09-06,81300,"70 -72 Nottingham Road, Mansfield, Nottinghamshire, NG18 1BN, England","GUY, Carol Ann (Age: 67); WOOD, Dean Andrew (Age: 55); BROADHURST, Lee (Age: 52)",ltd,Not available,"£7,301,224.54",Not available,Cleaning,GB12192829
11198667,BROOKSCAPES LANDSCAPING LIMITED,active,2018-02-12,81300,"C/O Xeinadin, First Floor, Secure House, Lulworth Close,, Chandler's Ford, Hampshire, SO53 3TL, England","GREENBROOKS, Paul Dominic (Age: 55)",ltd,Not available,"£15,405,740.19",Not available,Cleaning,GB11198667
14935198,B T LANDSCAPING AND CONSTRUCTION LIMITED,active,2023-06-14,"41202, 81300","8 Miller Crescent, Barnstaple, Devon, EX32 7DZ, England","TUCKER, Barry Richard (Age: 65)",ltd,Not available,"£751,205,454.26",Not available,Cleaning,GB14935198
11164095,BUCKS AND HERTS LANDSCAPING GROUP LIMITED,active,2018-01-23,81300,"50 St. Marys Road, Hemel Hempstead, HP2 5HL, England","BEDWELL, Darryl (Age: 66); ORRELLS, Jane Mary (Age: 65)",ltd,Not available,"£1,780,082.83",Not available,Cleaning,GB11164095
9408112,BUD DESIGN & LANDSCAPING LIMITED,active,2015-01-27,81300,"64 Churchill Road, Slough, Berkshire, SL3 7RB, United Kingdom","CORIO, Brenda Caron (Age: 58); CORIO, Steven Michael (Age: 55)",ltd,Not available,"£33,565,368.12",Not available,Cleaning,GB09408112
15460082,BUILDING & LANDSCAPING SURREY LIMITED,active,2024-02-01,41100,"11 Meadowlands, Cobham, KT11 1AZ, England","WACKETT, Paul Russell James (Age: 58)",ltd,Not available,"£46,042,972.43",Not available,Cleaning,GB15460082
15590905,BUILDRITE CONSTRUCTION & LANDSCAPING LTD,active,2024-03-24,43390,"42 Coupe Drive, Weston Coyney, Stoke On Trent, Staffs, ST3 5HS, England","EYRE, Lyndon (Age: 56)",ltd,Not available,"£2,863,874.33",Not available,Cleaning,GB15590905
10105189,BUMBLEBEE LANDSCAPING LIMITED,active,2016-04-06,81300,"27 Mitchell Court, Wellingborough, Northants, NN8 4DL, England","FAULKNER, Colin (Age: 61); FAULKNER, Patrick (Age: 52)",ltd,Not available,"£8,693,320.47",Not available,Cleaning,GB10105189
15849768,BURTON LANDSCAPING LTD,active,2024-07-21,81300,"1b Gordon Street, Stockport, SK4 1RS, England","BURTON, David Allen (Age: 57)",ltd,Not available,"£5,692,812.52",Not available,Cleaning,GB15849768
4642965,CALDERSTONES LANDSCAPING AND MAINTENANCE SERVICES LIMITED,active,2003-01-21,81300,"51 Bulford Road Bulford Road, Liverpool, L9 6AX, England","MOORE, Michael John (Age: 54); CHU, Pauline Therese (Age: 79); GLEDHILL, Mark (Age: 64); MOORE, Michael (Age: 54); WOODS, Francye (Age: 54)",ltd,Not available,"£48,794,085.61",Not available,Cleaning,GB04642965
12905632,CAMBRIDGE SUSTAINABLE LANDSCAPING LTD,active,2020-09-25,81300,"97 Carlton Avenue East, Wembley, HA9 8LZ, England","HAMZARAJ, Rasim (Age: 62)",ltd,Not available,"£173,861,256.83",Not available,Cleaning,GB12905632
6279018,CAMERON BUILDING AND LANDSCAPING SERVICES LTD,active,2007-06-13,"41202, 43220, 43390","26 Mill Lane, Oxted, Surrey, RH8 9DG","CAMERON, James Eric (Age: 56)",ltd,Not available,"£23,834,122.53",Not available,Cleaning,GB06279018
SC828272,CAMERON SMITH LANDSCAPING LIMITED,active,2024-11-07,81300,"Ground Floor, 120 George Street, Oban, PA34 5NT, United Kingdom","SMITH, Cameron Andrew (Age: 53)",ltd,Not available,"£155,509,166.35",Not available,Cleaning,GBSC828272
14551179,C&D GROUNDWORKS & LANDSCAPING LTD,active,2022-12-20,43999,"1 Station Court, Station Approach, Wickford, SS11 7AT, England","MOSLIN, Darren Robert (Age: 56)",ltd,Not available,"£11,014,013.80",Not available,Cleaning,GB14551179
15694305,C & J GARDENING AND LANDSCAPING LTD,active,2024-04-30,81300,"Unit 18 Chiltern Business Centre 63-65 Woodside Road, Amersham, HP6 6AA, England","JAMES MCBRIDE, Ian (Age: 63)",ltd,Not available,"£612,688,909.60",Not available,Cleaning,GB15694305
14383683,CAROLINE LANDSCAPING LTD,active,2022-09-28,81300,"58 Grand Avenue, Surbiton, KT5 9HU, England","STROMBORG, Caroline Ann (Age: 60)",ltd,Not available,"£164,665,112.02",Not available,Cleaning,GB14383683
12238037,CARTERTON PLANT AND LANDSCAPING LIMITED,active,2019-10-01,43120,"1st Floor 1 The Clock House, Brize Norton Road, Carterton, Oxfordshire, OX18 3HN, United Kingdom","KAYE, Adrian Paul (Age: 55)",ltd,Not available,"£166,047,341.79",Not available,Cleaning,GB12238037
3070845,CASTLE LANDSCAPING LIMITED,active,1995-06-21,81300,"South A Nursery Hawthorn Hill, East Lambrook, South Petherton, Somerset, TA13 5HJ","DYKE, Nicholas (Age: 56); DYKE, Nigel Graham (Age: 86); O'DRISCOLL, Richard Spencer Finian (Age: 68)",ltd,Not available,"£8,628,933.22",Not available,Cleaning,GB03070845
8278509,CATTON PAVING LANDSCAPING NORFOLK LTD,active,2012-11-02,43999,"10a Castle Meadow, Norwich, NR1 3DE, United Kingdom","BELL, Ruth Eileen (Age: 55)",ltd,Not available,"£824,494,978.04",Not available,Cleaning,GB08278509
11676013,CBS DRIVEWAYS AND LANDSCAPING LTD,active,2018-11-13,43999,"Unit 3b Edison Court Ellice Way, Wrexham Technology Park, Wrexham, LL13 7YT, Wales","HOWELL, Mark Antony (Age: 53)",ltd,Not available,"£27,455,580.78",Not available,Cleaning,GB11676013
6270622,CEDARS LANDSCAPING LIMITED,active,2007-06-06,81300,"37d Ellesmere Court, Leechmere Industrial Estate, Sunderland, SR2 9UA, England","SIMPSON, John Robert (Age: 53)",ltd,Not available,"£234,451,174.10",Not available,Cleaning,GB06270622
6949549,CEE GARDENING & SOFT LANDSCAPING LIMITED,active,2009-07-01,81300,"54 Whitebeam Avenue, Bromley, Kent, BR2 8DL","BURTON, Clanvern Aubyn (Age: 55); HUNTE, Kirt (Age: 59)",ltd,Not available,"£140,487,002.00",Not available,Cleaning,GB06949549
8294303,CHAMELEON FENCING & LANDSCAPING LIMITED,active,2012-11-15,81300,"Unit 4, The Old Granary Westwick Barn, Oakington Road, Westwick, Cambridge, Cambs, CB24 3AR","RAMSAY, Iain Laurie (Age: 53)",ltd,Not available,"£102,815,695.76",Not available,Cleaning,GB08294303
9461805,CHAMELEON LANDSCAPING LTD,active,2015-02-27,81300,"Unit M Staniforth Estates, Main Street, Hackenthorpe, Sheffield, S12 4LB, England","DWYER, Patrick (Age: 56)",ltd,Not available,"£5,858,224.14",Not available,Cleaning,GB09461805
10671265,CHARFLEETS LANDSCAPING LIMITED,active,2017-03-15,81300,"4 Hadleigh Business Centre 351 London Road, Hadleigh, Benfleet, Essex, SS7 2BT, United Kingdom","WILLIAMSON, Kevin (Age: 61); WILLIAMSON, Karen (Age: 67)",ltd,Not available,"£129,902,102.13",Not available,Cleaning,GB10671265
2858116,CHARLTON ABBOTTS LANDSCAPING LIMITED,active,1993-09-29,"02100, 81300","38 Dollar Street, Cirencester, Gloucestershire, GL7 2AN","GOVAN, Stuart Sherriff (Age: 56); WILKINSON, Samuel William (Age: 61); WILKINSON, Susan (Age: 59); BAILEY, Edwin Maxim (Age: 75)",ltd,Not available,"£48,903,349.26",Not available,Cleaning,GB02858116
12829484,CHELSEA LANDSCAPING AND REFURBISHMENTS LTD,active,2020-08-21,"43390, 43999","12829484 - COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH","O'DRISCOLL, James (Age: 56); O'DRISCOLL, James (Age: 56)",ltd,Not available,"£34,193,014.05",Not available,Cleaning,GB12829484
15160626,CHEPSTOW DRIVEWAYS AND LANDSCAPING LTD,active,2023-09-24,42990,"Brookfield Lodge Baileys Hay, Mathern, Chepstow, NP16 6JP, Wales","DAVIES, Michael (Age: 50)",ltd,Not available,"£64,019,995.53",Not available,Cleaning,GB15160626
15126370,CHEPSTOW SURFACING & LANDSCAPING LTD,active,2023-09-10,81300,"4d Old Pill Farm Industrial Estate, The Pill, Caldicot, NP26 5JH, United Kingdom","DAVIES, Michael (Age: 50)",ltd,Not available,"£58,326,170.16",Not available,Cleaning,GB15126370
13856870,CHERRY BLOSSOM LANDSCAPING LTD,active,2022-01-18,81300,"16 Whitesmiths Way Swordy Park, Alnwick, NE66 1FE, England","WOOD, Stephen (Age: 51)",ltd,Not available,"£20,760,366.54",Not available,Cleaning,GB13856870
SC121820,CHERRY GENERAL LANDSCAPING LIMITED,active,1989-12-07,43999,"25 Carmyle Avenue, Tollcross, Glasgow, G32 8HN","HARTE, Martin (Age: 59); HARTE, Andrew (Age: 99)",ltd,Not available,"£144,057,908.48",Not available,Cleaning,GBSC121820
13314150,CHESHIRE LANDSCAPING SUPPLIES LIMITED,active,2021-04-06,47789,"Progress Works, Stewart Street, Crewe, Cheshire, CW2 7RW, United Kingdom","YARWOOD, Karl Edward (Age: 56)",ltd,Not available,"£10,175,809.05",Not available,Cleaning,GB13314150
13354715,CHESHIRE TREE & LANDSCAPING LIMITED,active,2021-04-23,81300,"Holly Cottage Station Road, Dunham Massey, Altrincham, Cheshire, WA14 5SA, United Kingdom","OAKLAND, Andrew (Age: 58); DUKE, Michael (Age: 65)",ltd,Not available,"£35,565,459.40",Not available,Cleaning,GB13354715
8261192,CHESTNUT LANDSCAPING SERVICES LTD,active,2012-10-19,81300,"Laburnum Cottage Randalls Green, Chalford Hill, Stroud, Gloucestershire, GL6 8LE","HALE, Timothy Richard (Age: 50)",ltd,Not available,"£6,532,820.49",Not available,Cleaning,GB08261192
8403778,CHRIS LEACH DRY STONE WALLING & LANDSCAPING LTD,active,2013-02-14,43999,"10 Station Road, Blockley, Moreton-In-Marsh, Gloucestershire, GL56 9DZ","LEACH, Christopher (Age: 55)",ltd,Not available,"£16,254,776.39",Not available,Cleaning,GB08403778
10925205,CHURCH LANE GROUNDWORKS & LANDSCAPING LTD,active,2017-08-21,81300,"152 Church Lane East, Aldershot, GU11 3SS, United Kingdom","BROOKS, Michelle Alice (Age: 52)",ltd,Not available,"£86,318,021.45",Not available,Cleaning,GB10925205
SC616570,CITY PAVING AND LANDSCAPING LTD,active,2018-12-19,81300,"42 Dudhope Crescent Road, Dundee, Angus, DD1 5RR","BYRES, Henry Marshall (Age: 54)",ltd,Not available,"£23,474,998.83",Not available,Cleaning,GBSC616570
13734778,CLASSIC GARDENS LANDSCAPING LIMITED,active,2021-11-10,81300,"Ifton Crest, Caerwent, Caldicot, NP26 5AH, Wales","REES, Amy Kate (Age: 51); REES, Jeffrey Phillip (Age: 54)",ltd,Not available,"£323,498,905.17",Not available,Cleaning,GB13734778
12101225,CLASSIC LANDSCAPING SERVICES LTD,active,2019-07-12,41202,"31 Bradstock Close, Poole, Dorset, BH12 4BT, United Kingdom","CARLSON, Scott (Age: 56)",ltd,Not available,"£7,913,356.25",Not available,Cleaning,GB12101225
4864612,CLAVERDON BUILDING & LANDSCAPING LIMITED,active,2003-08-13,"81100, 81300, 93199","Claverdon Hall Farm, Lye Green Road, Claverdon, Warwickshire, CV35 8HJ","WHITAKER, Anne Michelle (Age: 73); WHITAKER, Robert Alston (Age: 74)",ltd,Not available,"£41,094,177.83",Not available,Cleaning,GB04864612
9592023,CLOCKHOUSE LANDSCAPING LIMITED,active,2015-05-14,81300,"Unit 3 Stanley Court Shearway Business Park, Shearway Road, Folkestone, Kent, CT19 4FJ, England","STEVENSON, Alexander Blandford (Age: 52)",ltd,Not available,"£966,878,009.03",Not available,Cleaning,GB09592023
14450536,CMC LANDSCAPING LTD,active,2022-10-28,81300,"83 Speedwell Road, Colchester, CO2 8DN, England","SMITH, Christopher John (Age: 51)",ltd,Not available,"£197,112,684.00",Not available,Cleaning,GB14450536
14307412,CME LANDSCAPING LTD,active,2022-08-19,43999,"Old Warden, St Ann's Fort, Kings Lynn, Norfolk, PE30 1QS, England","ELLIS, Clifford (Age: 56); ELLIS, Susan (Age: 53)",ltd,Not available,"£48,871,810.45",Not available,Cleaning,GB14307412
9487804,COLLINS LANDSCAPING LIMITED,active,2015-03-13,81300,"41 Cartwright Avenue, Worcester, WR4 0NZ, England","COLLINS, Sara Jayne (Age: 54)",ltd,Not available,"£3,558,088.82",Not available,Cleaning,GB09487804
7359228,CONSTABLE LANDSCAPING LTD,active,2010-08-27,43999,"15 West Street, Brighton, BN1 2RL, England","SMITH, Shaun (Age: 58)",ltd,Not available,"£490,911,267.40",Not available,Cleaning,GB07359228
11860661,CONTEMPO BUILDING AND LANDSCAPING LTD,active,2019-03-05,43390,"28 Lyttleton Road, Bewdley, DY12 2BU, United Kingdom","GANDERTON, Christian Anthony (Age: 51)",ltd,Not available,"£234,318,172.92",Not available,Cleaning,GB11860661
4706307,COOL GARDENS LANDSCAPING LIMITED,active,2003-03-21,81300,"Penn Bottom Farm Penn Bottom, Penn, High Wycombe, HP10 8PH, England","ASQUITH, Carl Howard (Age: 51); DAVIS, Victoria Anne Rebecca (Age: 50); MARSHALL, Ruth Stella, Dr (Age: 61); ROBINSON, Tobias Edward (Age: 59)",ltd,Not available,"£26,731,854.93",Not available,Cleaning,GB04706307
6444025,COOMBE & SHARPE LANDSCAPING LIMITED,active,2007-12-04,81300,"Dalmar House Barras Lane Estate, Dalston, Carlisle, CA5 7NY, England","COOMBE, Paul Joseph (Age: 60); SHARPE, Alan (Age: 58)",ltd,Not available,"£26,574,271.40",Not available,Cleaning,GB06444025
4472810,COTESBACH LANDSCAPING LIMITED,active,2002-06-28,81300,"3mc Middlemarch Business Park, Siskin Drive, Coventry, CV3 4FJ, England","VERNON, Richard Ian (Age: 61)",ltd,Not available,"£13,976,205.49",Not available,Cleaning,GB04472810
14159046,COTSWOLD BUILDING & LANDSCAPING LIMITED,active,2022-06-08,41100,"412 Katherine Road, London, E7 8NP, England","HARTLEY, Jill Marie (Age: 63)",ltd,Not available,"£1,992,784.36",Not available,Cleaning,GB14159046
14579988,COTSWOLD BUILDING & LANDSCAPING WORKS LIMITED,active,2023-01-09,43290,"9 The Bourne, Hook Norton, Banbury, OX15 5PD, England","HALL, Eric Thomas (Age: 69)",ltd,Not available,"£15,079,951.62",Not available,Cleaning,GB14579988
1567884,COTTINGHAM LANDSCAPING LIMITED,active,1981-06-12,43390,"Stoneledge Plant And Transport Limited, Station Road, Cottingham, East Yorkshire, HU16 4LL","GREENWOOD, Philip Graham (Age: 65); GREENWOOD, Graham Elvin (Age: 90)",ltd,Not available,"£15,540,127.61",Not available,Cleaning,GB01567884
11419254,COUNTRY GARDEN CARE LANDSCAPING LIMITED,active,2018-06-18,96090,"Belfry House, Bell Lane, Hertford, Hertfordshire, SG14 1BP, United Kingdom","FARRELL, Robert (Age: 50)",ltd,Not available,"£198,063,740.10",Not available,Cleaning,GB11419254
15092719,CPS LANDSCAPING LTD,active,2023-08-23,81300,"119 Ripon Road, Bournemouth, BH9 1RA, England","SHEPHEARD, Colin Paul (Age: 60)",ltd,Not available,"£37,983,299.00",Not available,Cleaning,GB15092719
7034757,CREATE LANDSCAPING LIMITED,active,2009-09-30,81300,"C1 Foxmoor Business Park Road, Wellington, TA21 9RF, England","VARNEY, Alan (Age: 60); VARNEY, Jennifer (Age: 52); WATT, Roy (Age: 61)",ltd,Not available,"£4,432,123.25",Not available,Cleaning,GB07034757
7118028,CREATIVE ROOTS LANDSCAPING LIMITED,active,2010-01-06,81300,"Unit 12 The Wholesale District, Clarke Road, Nottingham, NG2 3JJ, England","SUTCLIFFE, Keith (Age: 73); JACOBS, Yomtov Eliezer (Age: 54)",ltd,Not available,"£218,781,851.46",Not available,Cleaning,GB07118028
13549818,CREMIN LANDSCAPING LIMITED,active,2021-08-05,99999,"Tapster Barn, Tapster Lane, Lapworth, Warwickshire, B94 5PA, England","CREMIN, Claire Louise (Age: 50)",ltd,Not available,"£137,986,444.45",Not available,Cleaning,GB13549818
11920628,THE CRICKETERS LANDSCAPING COMPANY CAMBRIDGE LIMITED,active,2019-04-02,81300,"49 Toyse Lane, Burwell, Cambridge, Cambridgeshire, CB25 0DF, United Kingdom","CORNWELL, Clinton Charles (Age: 53)",ltd,Not available,"£9,510,819.41",Not available,Cleaning,GB11920628
15261937,CRISANN CONSTRUCTION & LANDSCAPING LIMITED,active,2023-11-06,"41100, 41202, 81300","23-25 Foxes Bridge Road, Forest Vale Industrial Estate, Cinderford, GL14 2PQ, England","GARDNER, Ann Patricia (Age: 56); GARDNER, Chris (Age: 61)",ltd,Not available,"£6,543,822.85",Not available,Cleaning,GB15261937
13974607,CROFT PAVING AND LANDSCAPING LTD,active,2022-03-14,81300,"C/O Chesterton House Accounting Services Llp, 2 - 3 Rectory Place, Loughborough, Leicestershire, LE11 1UW, United Kingdom","CROFT, Steven Jeffrey (Age: 54)",ltd,Not available,"£6,169,203.55",Not available,Cleaning,GB13974607
5512899,C R SWIFT LANDSCAPING LTD,active,2005-07-19,81300,"Potton House, Wyboston Lakes, Great North Road, Wyboston, Bedford, MK44 3BZ","SWIFT, Carl Richard (Age: 61); SWIFT, Denise (Age: 64)",ltd,Not available,"£20,276,736.32",Not available,Cleaning,GB05512899
11157034,CS DECORATING & LANDSCAPING LTD,active,2018-01-18,"43341, 81300","272 London Road, Wallington, Surrey, SM6 7DJ, United Kingdom","DUKE, Michael (Age: 65)",ltd,Not available,"£7,633,817.17",Not available,Cleaning,GB11157034
8567666,CSN BRICKWORK & HARD LANDSCAPING LIMITED,active,2013-06-13,43290,"28 Shearling Close, Picket Piece, Andover, SP11 6PU, England","DROY, Michael (Age: 58); GREENHALGH, Patricia Anne (Age: 57); NEWPORT, Tina (Age: 60)",ltd,Not available,"£928,411,845.84",Not available,Cleaning,GB08567666
14172665,C.T.C CIVILS AND LANDSCAPING LTD,active,2022-06-14,81300,"8 The Leas, Featherstone, Wolverhampton, WV10 7AJ, England","CHILTON, Beverley (Age: 61)",ltd,Not available,"£34,514,265.06",Not available,Cleaning,GB14172665
4871597,CWG CONSTRUCTION AND LANDSCAPING LIMITED,active,2003-08-19,41100,"Meadow View, Bulford Road, Shipton Bellinger, Hampshire, SP9 7TF","GILLHESPY, Clive William (Age: 54); GILLHESPY, Jane Louise (Age: 52)",ltd,Not available,"£29,420,596.45",Not available,Cleaning,GB04871597
4977415,D.A.I. DRIVEWAYS & LANDSCAPING LIMITED,active,2003-11-26,81300,"57 Morley Road, Chaddesden, Derby, DE21 4QU, England","IGOE, Dale Anthony (Age: 60); IGOE, Sylvia (Age: 58)",ltd,Not available,"£5,356,308.52",Not available,Cleaning,GB04977415
15724242,DAISY CHAIN LANDSCAPING LTD,active,2024-05-16,81300,"22 Massey Street, Brierfield, Nelson, Lancashire, BB9 5JU, United Kingdom","TALMER, Mario Peter (Age: 56)",ltd,Not available,"£8,207,814.46",Not available,Cleaning,GB15724242
13677087,D A LANDSCAPING & GARDEN SERVICES LIMITED,active,2021-10-13,81300,"31 High Street, Haverhill, Suffolk, CB9 8AD, United Kingdom","ALLEN, David John (Age: 62)",ltd,Not available,"£215,892,590.70",Not available,Cleaning,GB13677087
6780756,DALE LANDSCAPING SERVICES LTD,active,2008-12-29,81300,"11 Hodge Close, Astcote, Towcester, Northamptonshire, NN12 8NR","FURNISS, Dale Charles (Age: 59); FURNISS, Ruth Jenny (Age: 60); KAHAN, Barbara (Age: 93)",ltd,Not available,"£22,934,363.48",Not available,Cleaning,GB06780756
13537054,"DARRENS LANDSCAPING, GARDEN & PROPERTY CARE LIMITED",active,2021-07-29,81300,"207 Rockingham Road, Kettering, NN16 9JA, England","INCLES, Darren (Age: 58)",ltd,Not available,"£46,786,188.02",Not available,Cleaning,GB13537054
4217572,DARVELL LANDSCAPING & BUILDING SERVICES LIMITED,active,2001-05-16,"43210, 43390","66 St Peters Avenue, Cleethorpes, Lincolnshire, DN35 8HP, United Kingdom","DARVELL, Roger (Age: 68); TREW, Reginald Alexander (Age: 91)",ltd,Not available,"£749,077,082.61",Not available,Cleaning,GB04217572
8882443,DAVE SMART FENCING & LANDSCAPING LIMITED,active,2014-02-07,81300,"4th Floor Llanthony Warehouse, The Docks, Gloucester, Gloucestershire, GL1 2EH, United Kingdom","SMART, David James (Age: 68)",ltd,Not available,"£138,401,524.75",Not available,Cleaning,GB08882443
4635754,DAVID CASTLEDINE (LANDSCAPING) LTD,active,2003-01-14,82990,"1 Old Chancel Road, Rugeley, Staffordshire, WS15 2QN","CASTLEDINE, David Anthony (Age: 61)",ltd,Not available,"£228,097,250.10",Not available,Cleaning,GB04635754
9606514,DAVID J HOWE LANDSCAPING & GROUNDCARE LTD,active,2015-05-23,81300,"28 Terminus Road, Sheffield, S7 2LH, England","HOWE, David (Age: 55)",ltd,Not available,"£2,720,130.62",Not available,Cleaning,GB09606514
10958685,DAVIS-WEAVER LANDSCAPING LIMITED,active,2017-09-12,81300,"Southwood, Evercreech, Shepton Mallet, BA4 6LX, United Kingdom","DUNFORD, Peter James (Age: 56)",ltd,Not available,"£6,957,145.49",Not available,Cleaning,GB10958685
5940293,DEEP GREEN LANDSCAPING LIMITED,active,2006-09-19,81300,"Bank House, Southwick Square, Southwick, West Sussex, BN42 4FN","TARRANT, Jason (Age: 54); TARRANT, Lisa (Age: 51)",ltd,Not available,"£21,453,791.30",Not available,Cleaning,GB05940293
1951003,DEERNESS FENCING & LANDSCAPING LIMITED,active,1985-09-27,81300,"New House Bowburn North Industrial Estate, Bowburn, Durham, DH6 5PF, England","BATES, James Robert (Age: 55); HOGAN, Michael Christopher (Age: 51); HOGAN, Michael Francis (Age: 80); ARCHER, Philip John (Age: 62); BLICK, Andrew David (Age: 63); CLAUGHAN, Anthony Edward (Age: 76); HALFACRE, David John (Age: 78); HOGAN, Mary Rita (Age: 81); HOGAN, Michael Christopher (Age: 54); HOGAN, Michael Francis (Age: 80); MANNING, Brian (Age: 67); RADCLIFFE, Andrew Edward (Age: 51); SLEVIN, Dermot Francis (Age: 79); SOWERBY, Mark Andrew (Age: 53); WALL, Robert Allison (Age: 65)",ltd,Not available,"£4,831,694.23",Not available,Cleaning,GB01951003
12829846,DELANS LANDSCAPING & GARDEN DESIGN LTD,active,2020-08-21,81300,"5 Fareham Way, Cramlington, Northumberland, NE23 1TB, England","TIMLIN, Shaun (Age: 64)",ltd,Not available,"£19,429,530.75",Not available,Cleaning,GB12829846
9947233,DELL & SONS LANDSCAPING LIMITED,active,2016-01-12,43999,"Pembroke Lodge, 3 Pembroke Road, Ruislip, HA4 8NQ, England","DELANEY, Patrick (Age: 61)",ltd,Not available,"£4,304,974.25",Not available,Cleaning,GB09947233
7710241,DEREK J BRICE BUILDING & LANDSCAPING LIMITED,active,2011-07-19,81300,"Jersey Cottage Mere Green, Hanbury, Droitwich, Worcestershire, WR9 7DZ, United Kingdom","BRICE, Derek (Age: 58); KAHAN, Barbara (Age: 93)",ltd,Not available,"£206,679,458.56",Not available,Cleaning,GB07710241
11012973,DESIGN DRIVEWAYS & LANDSCAPING LTD,active,2017-10-13,43999,"1 Gemini Court,, 42a Throwley Way,, Sutton, Surrey, SM1 4AF, England","WYARD, Michael James (Age: 54); WYARD, Sarah (Age: 51)",ltd,Not available,"£74,480,519.70",Not available,Cleaning,GB11012973
9402152,DEVIZES FENCING AND LANDSCAPING LTD,active,2015-01-22,46130,"Unit 8 Hopton Court, Hopton Industrial Estate, Devizes, Wiltshire, SN10 3EU","MOUNCHER, David Barry (Age: 58); PERRIGO, Elliott Russell (Age: 55)",ltd,Not available,"£590,069,933.31",Not available,Cleaning,GB09402152
14204763,DEVON & CORNWALL LANDSCAPING LTD,active,2022-06-29,81300,"Suite 0426, Unit D3 Mod Village Baron Way, Kingmoor Business Park, Carlisle, CA6 4BU, England","MORTIMER, Karen Lilwyn (Age: 66)",ltd,Not available,"£35,689,097.16",Not available,Cleaning,GB14204763
11973294,DFC CONSTRUCTION AND LANDSCAPING LTD,active,2019-05-01,43390,"36a Station Road, New Milton, Hampshire, BH25 6JX, England","AUSTIN, Gary John (Age: 53)",ltd,Not available,"£758,843,813.14",Not available,Cleaning,GB11973294
11997547,DH LANDSCAPING LTD,active,2019-05-15,81300,"56 Selby Road, Carshalton, Surrey, SM5 1LD, United Kingdom","HAINES, David (Age: 55)",ltd,Not available,"£172,061,459.35",Not available,Cleaning,GB11997547
8575195,DHS LANDSCAPING LIMITED,active,2013-06-18,81300,"C/O Adepta Ltd Hill Farm, Kirby Road, Kirby Bedon, Norwich, NR14 7DU, England","PERFITT, Emma Jane (Age: 52); PERFITT, Mark James (Age: 59)",ltd,Not available,"£11,727,168.05",Not available,Cleaning,GB08575195
8154755,DIAMOND LANDSCAPING LIMITED,active,2012-07-24,82990,"6 Holmes Close, Woking, GU22 9LU, United Kingdom","PRESTON, Steve Charles (Age: 55); JENNER, Andrew David (Age: 65); JENNER, Hilary Irene (Age: 64)",ltd,Not available,"£7,711,506.10",Not available,Cleaning,GB08154755
